customerID,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,is_new_customer,num_services,avg_monthly_spend,is_high_value,is_month_to_month,tenure_bucket_13-24,tenure_bucket_25-48,tenure_bucket_49-60,tenure_bucket_61-72,churn_probability,risk_segment
8191-XWSZG,0,0,0,52,1,0,20.65,1022.95,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0,0,19.672115384615385,0,0,False,False,True,False,0.04752656718370217,Low Risk
9959-WOFKT,0,0,1,71,1,0,106.7,7382.25,0,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,0,4,103.97535211267606,1,0,False,False,False,True,0.18826546564236044,Low Risk
4190-MFLUW,0,1,1,10,1,0,55.2,528.35,1,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,0,2,52.835,0,1,False,False,False,False,0.39666467284788354,Medium Risk
4183-MYFRB,0,0,0,21,1,1,90.05,1862.9,0,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,0,3,88.70952380952382,1,1,True,False,False,False,0.7258668372299213,High Risk
8779-QRDMV,1,0,0,1,0,1,39.65,39.65,1,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,1,2,39.65,0,1,False,False,False,False,0.8676390483040147,High Risk
1680-VDCWW,0,1,0,12,1,0,19.8,202.25,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,0,0,16.854166666666668,0,0,False,False,False,False,0.09673403927309701,Low Risk
1066-JKSGK,0,0,0,1,1,0,20.15,20.15,1,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,1,0,20.15,0,1,False,False,False,False,0.644146792240932,High Risk
3638-WEABW,0,1,0,58,1,1,59.9,3505.1,0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,0,2,60.43275862068965,0,0,False,False,True,False,0.060660759286818536,Low Risk
6322-HRPFA,0,1,1,49,1,0,59.6,2970.3,0,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,0,3,60.61836734693878,0,1,False,False,True,False,0.1982172685407816,Low Risk
6865-JZNKO,0,0,0,30,1,1,55.3,1530.6,0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2,51.02,0,1,False,True,False,False,0.29591639578553186,Low Risk
6467-CHFZW,0,1,1,47,1,1,99.35,4749.15,1,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,0,3,101.04574468085106,1,1,False,True,False,False,0.7012044616934684,High Risk
8665-UTDHZ,0,1,1,1,0,0,30.2,30.2,1,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1,1,30.2,0,1,False,False,False,False,0.7517433131003042,High Risk
5248-YGIJN,0,1,0,72,1,1,90.25,6369.45,0,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0,6,88.46458333333334,1,0,False,False,False,True,0.019034068341880237,Low Risk
8773-HHUOZ,0,0,1,17,1,1,64.7,1093.1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,0,2,64.3,0,1,True,False,False,False,0.45190566934271514,Medium Risk
3841-NFECX,1,1,0,71,1,1,96.35,6766.95,0,False,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,0,4,95.30915492957746,1,0,False,False,False,True,0.07216112920098514,Low Risk
4929-XIHVW,1,1,0,2,1,1,95.5,181.65,0,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,1,3,90.825,1,1,False,False,False,False,0.8087799436786909,High Risk
6827-IEAUQ,0,1,1,27,1,0,66.15,1874.45,0,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,0,4,69.42407407407407,0,0,False,True,False,False,0.1459395865283325,Low Risk
7310-EGVHZ,0,0,0,1,1,0,20.2,20.2,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,1,0,20.2,0,1,False,False,False,False,0.4883216301021493,Medium Risk
3413-BMNZE,1,0,0,1,1,0,45.25,45.25,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,45.25,0,1,False,False,False,False,0.7487840731474033,High Risk
6234-RAAPL,0,1,1,72,1,0,99.9,7251.7,0,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,0,4,100.71805555555557,1,0,False,False,False,True,0.06092347694914903,Low Risk
6047-YHPVI,0,0,0,5,1,1,69.7,316.9,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,63.38,0,1,False,False,False,False,0.7848159882375055,High Risk
6572-ADKRS,0,0,0,46,1,1,74.8,3548.3,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0,1,77.13695652173914,0,1,False,True,False,False,0.5399401840916864,Medium Risk
5380-WJKOV,0,0,0,34,1,1,106.35,3549.25,1,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,0,4,104.38970588235294,1,1,False,True,False,False,0.7292744319156848,High Risk
8168-UQWWF,0,0,0,11,1,1,97.85,1105.4,1,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,0,3,100.4909090909091,1,1,False,False,False,False,0.8521468528141868,High Risk
8865-TNMNX,0,1,1,10,1,0,49.55,475.7,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,0,1,47.57,0,0,False,False,False,False,0.25003310266504725,Low Risk
9489-DEDVP,0,1,1,70,1,1,69.2,4872.35,0,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,0,3,69.605,0,0,False,False,False,True,0.06271549093734974,Low Risk
9867-JCZSP,0,1,1,17,1,0,20.75,418.25,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0,0,24.602941176470587,0,0,True,False,False,False,0.06942316286891476,Low Risk
4671-VJLCL,0,0,0,63,1,1,79.85,4861.45,0,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,0,5,77.16587301587302,0,0,False,False,False,True,0.06263453407792205,Low Risk
4080-IIARD,0,1,0,13,1,1,76.2,981.45,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,0,4,75.49615384615385,0,1,True,False,False,False,0.44801335342345244,Medium Risk
3714-NTNFO,0,0,0,49,1,1,84.5,3906.7,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0,1,79.72857142857143,0,1,False,False,True,False,0.6697320075940921,High Risk
5948-UJZLF,0,0,0,2,1,0,49.25,97.0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,48.5,0,1,False,False,False,False,0.6920050248446584,High Risk
7760-OYPDY,0,0,0,2,1,1,80.65,144.15,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1,1,72.075,0,1,False,False,False,False,0.8601617783196874,High Risk
7639-LIAYI,0,0,0,52,1,1,79.75,4217.8,0,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,0,4,81.11153846153846,0,0,False,False,True,False,0.05164111075949207,Low Risk
2954-PIBKO,0,1,1,69,1,1,64.15,4254.1,0,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,0,3,61.6536231884058,0,0,False,False,False,True,0.05286171335834137,Low Risk
8012-SOUDQ,1,0,0,43,1,1,90.25,3838.75,0,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0,2,89.27325581395348,1,1,False,True,False,False,0.6779914955719297,High Risk
9420-LOJKX,0,0,0,15,1,1,99.1,1426.4,1,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,0,4,95.09333333333332,1,1,True,False,False,False,0.7489470529189916,High Risk
6575-SUVOI,1,1,0,25,1,1,69.5,1752.65,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,0,3,70.10600000000001,0,1,False,True,False,False,0.2317537651137339,Low Risk
7495-OOKFY,1,1,0,8,1,1,80.65,633.3,1,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0,1,79.1625,0,1,False,False,False,False,0.7803877568398899,High Risk
4667-QONEA,1,1,1,60,1,1,74.85,4456.35,0,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False,False,0,5,74.27250000000001,0,0,False,False,True,False,0.17372061390480836,Low Risk
1658-BYGOY,1,0,0,18,1,1,95.45,1752.55,1,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0,2,97.36388888888888,1,1,True,False,False,False,0.7990755371862628,High Risk
8769-KKTPH,0,1,1,63,1,1,99.65,6311.2,0,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,0,3,100.17777777777778,1,0,False,False,False,True,0.3145593135502393,Medium Risk
5067-XJQFU,1,1,1,66,1,1,108.45,7076.35,0,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,0,5,107.21742424242424,1,0,False,False,False,True,0.3815346909477986,Medium Risk
3957-SQXML,0,1,1,34,1,0,24.95,894.3,0,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0,0,26.302941176470583,0,0,False,True,False,False,0.02493907270562094,Low Risk
5954-BDFSG,0,0,0,72,1,1,107.5,7853.7,0,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,0,4,109.07916666666668,1,0,False,False,False,True,0.18148029400788854,Low Risk
0434-CSFON,0,1,0,47,1,1,100.5,4707.1,0,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,0,3,100.15106382978723,1,1,False,True,False,False,0.731056438374502,High Risk
1215-FIGMP,0,0,0,60,1,1,89.9,5450.7,0,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0,2,90.845,1,1,False,False,True,False,0.4997994177694107,Medium Risk
0526-SXDJP,0,1,0,72,0,0,42.1,2962.0,0,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,0,3,41.138888888888886,0,0,False,False,False,True,0.0587935283912766,Low Risk
0557-ASKVU,0,1,1,18,1,1,54.4,957.1,0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,0,2,53.172222222222224,0,0,True,False,False,False,0.2514839206605513,Low Risk
5698-BQJOH,0,0,0,9,1,0,94.4,857.25,1,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0,2,95.25,1,1,False,False,False,False,0.8310320451318006,High Risk
5122-CYFXA,0,0,0,3,1,1,75.3,244.1,0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,1,4,81.36666666666666,0,1,False,False,False,False,0.5819138757678762,Medium Risk
8627-ZYGSZ,0,1,0,47,1,1,78.9,3650.35,0,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,0,1,77.66702127659575,0,0,False,True,False,False,0.27338644380332977,Low Risk
3410-YOQBQ,0,0,0,31,1,0,79.2,2497.2,0,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,0,5,80.55483870967741,0,0,False,True,False,False,0.07438075058460106,Low Risk
3170-NMYVV,0,1,1,50,1,0,20.15,930.9,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,0,18.618,0,0,False,False,True,False,0.03877490082687246,Low Risk
7410-OIEDU,0,0,0,10,1,1,79.85,887.35,0,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0,2,88.735,0,1,False,False,False,False,0.6890007980106165,High Risk
2273-QCKXA,0,0,0,1,1,0,49.05,49.05,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,1,1,49.05,0,1,False,False,False,False,0.6435581329946938,High Risk
0731-EBJQB,0,1,1,52,1,1,20.4,1090.65,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,0,0,20.974038461538463,0,0,False,False,True,False,0.03979534246546787,Low Risk
1891-QRQSA,1,1,1,64,1,1,111.6,7099.0,0,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,0,5,110.921875,1,0,False,False,False,True,0.21555662773839107,Low Risk
8028-PNXHQ,0,1,1,62,1,1,24.25,1424.6,0,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,0,22.97741935483871,0,0,False,False,False,True,0.007312848641157087,Low Risk
5630-AHZIL,0,0,1,3,1,1,64.5,177.4,0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,1,3,59.13333333333333,0,1,False,False,False,False,0.46888199059961483,Medium Risk
2673-CXQEU,1,0,0,56,1,0,110.5,6139.5,0,False,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,0,5,109.63392857142856,1,0,False,False,True,False,0.44478398608142566,Medium Risk
6416-JNVRK,0,0,0,46,1,0,55.65,2688.85,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,0,1,58.45326086956521,0,0,False,True,False,False,0.19092621273756058,Low Risk
5590-ZSKRV,0,1,1,8,1,0,54.65,482.25,0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2,60.28125,0,1,False,False,False,False,0.36199604731110435,Medium Risk
0191-ZHSKZ,1,0,0,30,1,1,74.75,2111.3,0,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,0,4,70.37666666666668,0,1,False,True,False,False,0.3540477882585656,Medium Risk
3887-PBQAO,0,1,1,45,1,1,25.9,1216.6,0,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0,0,27.035555555555558,0,0,False,True,False,False,0.04722965800050514,Low Risk
5919-TMRGD,0,0,1,1,1,1,79.35,79.35,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1,1,79.35,0,1,False,False,False,False,0.9010413297775388,High Risk
8108-UXRQN,0,1,1,11,0,0,50.55,565.35,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0,3,51.39545454545455,0,1,False,False,False,False,0.4976049460934993,Medium Risk
9191-MYQKX,0,1,0,7,1,1,75.15,496.9,1,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,1,70.98571428571428,0,1,False,False,False,False,0.7516298242359686,High Risk
9919-YLNNG,0,0,0,42,1,1,103.8,4327.5,0,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,0,5,103.03571428571428,1,1,False,True,False,False,0.5736245511658817,Medium Risk
0318-ZOPWS,0,1,0,49,1,1,20.15,973.35,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,0,19.864285714285717,0,0,False,False,True,False,0.024961325499192062,Low Risk
4445-ZJNMU,0,0,0,9,1,1,99.3,918.75,0,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,0,3,102.08333333333331,1,1,False,False,False,False,0.8395201613761789,High Risk
4808-YNLEU,0,1,0,35,1,1,62.15,2215.45,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0,2,63.29857142857142,0,0,False,True,False,False,0.1448062725631935,Low Risk
1862-QRWPE,0,1,1,48,1,0,20.65,1057.0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,0,22.02083333333333,0,0,False,True,False,False,0.013881027214820693,Low Risk
2796-NNUFI,0,1,1,46,1,1,19.95,927.1,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0,0,20.15434782608696,0,0,False,True,False,False,0.020716488712408058,Low Risk
3016-KSVCP,0,1,0,29,0,0,33.75,1009.25,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,1,34.80172413793103,0,1,False,True,False,False,0.41192671470209563,Medium Risk
4767-HZZHQ,0,1,1,30,1,0,82.05,2570.2,0,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,0,2,85.67333333333333,0,1,False,True,False,False,0.5355225805666033,Medium Risk
2424-WVHPL,1,0,0,1,1,0,74.7,74.7,0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1,1,74.7,0,1,False,False,False,False,0.729485408599496,High Risk
7233-PAHHL,0,1,1,66,1,1,84.0,5714.25,0,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,0,5,86.57954545454545,0,0,False,False,False,True,0.04039607395523244,Low Risk
6067-NGCEU,0,0,0,65,1,1,111.05,7107.0,0,False,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,0,5,109.33846153846154,1,1,False,False,False,True,0.36602699994366084,Medium Risk
9848-JQJTX,0,0,0,72,1,1,100.9,7459.05,0,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,0,4,103.59791666666666,1,0,False,False,False,True,0.1705180741993184,Low Risk
8637-XJIVR,0,0,0,12,1,1,78.95,927.35,1,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,1,77.27916666666667,0,1,False,False,False,False,0.7615334272205191,High Risk
9803-FTJCG,0,1,1,71,1,1,66.85,4748.7,0,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,0,3,66.8830985915493,0,0,False,False,False,True,0.09931884611071869,Low Risk
0278-YXOOG,0,0,0,5,1,0,21.05,113.85,1,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,1,0,22.77,0,1,False,False,False,False,0.30979257912860714,Medium Risk
3212-KXOCR,0,0,0,52,1,0,21.0,1107.2,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,0,21.29230769230769,0,0,False,False,True,False,0.036910705828744325,Low Risk
4598-XLKNJ,1,1,0,25,1,1,98.5,2514.5,1,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,0,4,100.58,1,1,False,True,False,False,0.7590360464938352,High Risk
6380-ARCEH,0,0,0,1,1,0,20.2,20.2,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,1,0,20.2,0,1,False,False,False,False,0.6140950714126348,High Risk
3679-XASPY,0,1,1,1,1,0,19.45,19.45,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,1,0,19.45,0,1,False,False,False,False,0.478217106521725,Medium Risk
7123-WQUHX,0,0,0,38,1,0,95.0,3605.6,0,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,0,3,94.88421052631578,1,0,False,True,False,False,0.2726684403930635,Low Risk
5386-THSLQ,1,1,0,66,0,0,45.55,3027.25,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,0,3,45.86742424242424,0,0,False,False,False,True,0.15620315678550076,Low Risk
3192-NQECA,0,1,0,68,1,1,110.0,7611.85,1,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0,5,111.93897058823528,1,0,False,False,False,True,0.33275244660549175,Medium Risk
6180-YBIQI,0,0,0,5,0,0,24.3,100.2,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0,20.04,0,1,False,False,False,False,0.571917926945279,Medium Risk
6728-DKUCO,0,1,1,72,1,1,104.15,7303.05,0,False,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,0,4,101.43125,1,0,False,False,False,True,0.22114822256303526,Low Risk
9750-BOOHV,0,0,0,32,0,0,30.15,927.65,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0,1,28.9890625,0,0,False,True,False,False,0.1812179729172879,Low Risk
8597-CWYHH,0,0,0,43,1,0,94.35,3921.3,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,0,2,91.19302325581396,1,0,False,True,False,False,0.34440668904160054,Medium Risk
2848-YXSMW,0,1,1,72,1,0,19.4,1363.25,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0,0,18.93402777777778,0,0,False,False,False,True,0.011773138619895346,Low Risk
0486-HECZI,0,1,0,55,1,1,96.75,5238.9,1,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0,3,95.25272727272728,1,1,False,False,True,False,0.5470248561467611,Medium Risk
4549-ZDQYY,0,0,0,52,1,0,57.95,3042.25,0,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,0,3,58.50480769230769,0,0,False,False,True,False,0.10272533725639836,Low Risk
5712-AHQNN,0,0,0,43,1,1,91.65,3954.1,0,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,0,3,91.95581395348836,1,1,False,True,False,False,0.6197084413583026,High Risk
4846-WHAFZ,1,1,0,37,1,1,76.5,2868.15,1,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,77.51756756756757,0,1,False,True,False,False,0.6996352357019073,High Risk
5256-SKJGO,0,1,1,64,0,1,54.6,3423.5,0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,0,4,53.4921875,0,0,False,False,False,True,0.12753902817577004,Low Risk
3071-VBYPO,0,1,1,3,1,0,89.85,248.4,0,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,1,3,82.8,0,1,False,False,False,False,0.6040979196855794,High Risk
