customerID,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,tenure_bucket,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,is_new_customer,num_services,avg_monthly_spend,is_high_value,is_month_to_month
8108-UXRQN,0,1,1,11,0,0,50.55,565.35,0,0-12,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0,3,51.39545454545455,0,1
9191-MYQKX,0,1,0,7,1,1,75.15,496.9,1,0-12,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,1,70.98571428571428,0,1
9919-YLNNG,0,0,0,42,1,1,103.8,4327.5,0,25-48,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,0,5,103.03571428571429,1,1
0318-ZOPWS,0,1,0,49,1,1,20.15,973.35,0,49-60,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,0,19.864285714285714,0,0
4445-ZJNMU,0,0,0,9,1,1,99.3,918.75,0,0-12,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,0,3,102.08333333333333,1,1
4808-YNLEU,0,1,0,35,1,1,62.15,2215.45,0,25-48,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0,2,63.29857142857142,0,0
1862-QRWPE,0,1,1,48,1,0,20.65,1057.0,0,25-48,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,0,22.020833333333332,0,0
2796-NNUFI,0,1,1,46,1,1,19.95,927.1,0,25-48,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0,0,20.15434782608696,0,0
3016-KSVCP,0,1,0,29,0,0,33.75,1009.25,0,25-48,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,1,34.80172413793103,0,1
4767-HZZHQ,0,1,1,30,1,0,82.05,2570.2,0,25-48,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,0,2,85.67333333333333,0,1
2424-WVHPL,1,0,0,1,1,0,74.7,74.7,0,0-12,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1,1,74.7,0,1
7233-PAHHL,0,1,1,66,1,1,84.0,5714.25,0,61-72,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,0,5,86.57954545454545,0,0
6067-NGCEU,0,0,0,65,1,1,111.05,7107.0,0,61-72,False,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,0,5,109.33846153846154,1,1
9848-JQJTX,0,0,0,72,1,1,100.9,7459.05,0,61-72,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,0,4,103.59791666666666,1,0
8637-XJIVR,0,0,0,12,1,1,78.95,927.35,1,0-12,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,1,77.27916666666667,0,1
9803-FTJCG,0,1,1,71,1,1,66.85,4748.7,0,61-72,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,0,3,66.8830985915493,0,0
0278-YXOOG,0,0,0,5,1,0,21.05,113.85,1,0-12,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,1,0,22.77,0,1
3212-KXOCR,0,0,0,52,1,0,21.0,1107.2,0,49-60,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,0,21.292307692307695,0,0
4598-XLKNJ,1,1,0,25,1,1,98.5,2514.5,1,25-48,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,0,4,100.58,1,1
6380-ARCEH,0,0,0,1,1,0,20.2,20.2,0,0-12,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,1,0,20.2,0,1
3679-XASPY,0,1,1,1,1,0,19.45,19.45,0,0-12,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,1,0,19.45,0,1
7123-WQUHX,0,0,0,38,1,0,95.0,3605.6,0,25-48,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,0,3,94.88421052631578,1,0
5386-THSLQ,1,1,0,66,0,0,45.55,3027.25,0,61-72,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,0,3,45.86742424242424,0,0
3192-NQECA,0,1,0,68,1,1,110.0,7611.85,1,61-72,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0,5,111.93897058823529,1,0
6180-YBIQI,0,0,0,5,0,0,24.3,100.2,0,0-12,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0,20.04,0,1
6728-DKUCO,0,1,1,72,1,1,104.15,7303.05,0,61-72,False,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,0,4,101.43125,1,0
9750-BOOHV,0,0,0,32,0,0,30.15,927.65,0,25-48,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0,1,28.9890625,0,0
8597-CWYHH,0,0,0,43,1,0,94.35,3921.3,0,25-48,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,0,2,91.19302325581396,1,0
2848-YXSMW,0,1,1,72,1,0,19.4,1363.25,0,61-72,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0,0,18.93402777777778,0,0
0486-HECZI,0,1,0,55,1,1,96.75,5238.9,1,49-60,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0,3,95.25272727272727,1,1
4549-ZDQYY,0,0,0,52,1,0,57.95,3042.25,0,49-60,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,0,3,58.50480769230769,0,0
5712-AHQNN,0,0,0,43,1,1,91.65,3954.1,0,25-48,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,0,3,91.95581395348837,1,1
4846-WHAFZ,1,1,0,37,1,1,76.5,2868.15,1,25-48,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,77.51756756756757,0,1
5256-SKJGO,0,1,1,64,0,1,54.6,3423.5,0,61-72,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,0,4,53.4921875,0,0
3071-VBYPO,0,1,1,3,1,0,89.85,248.4,0,0-12,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,1,3,82.8,0,1
9560-BBZXK,0,0,0,36,0,0,31.05,1126.35,0,25-48,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,1,31.287499999999998,0,0
5299-RULOA,0,1,1,10,1,1,100.25,1064.65,1,0-12,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0,3,106.465,1,1
8402-OOOHJ,0,0,0,41,1,0,20.65,835.15,0,25-48,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0,0,20.36951219512195,0,0
9445-ZUEQE,0,1,1,27,1,1,85.2,2151.6,0,25-48,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,0,2,79.68888888888888,0,1
1091-SOZGA,0,1,1,56,1,1,99.8,5515.45,0,49-60,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,0,3,98.49017857142857,1,0
2928-HLDBA,0,0,0,6,1,0,20.7,112.75,0,0-12,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,1,0,18.791666666666668,0,1
0404-SWRVG,0,0,0,3,1,1,74.4,229.55,1,0-12,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,76.51666666666667,0,1
6497-TILVL,0,1,1,7,1,0,50.7,350.35,0,0-12,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,1,50.050000000000004,0,1
7219-TLZHO,0,1,1,4,1,0,20.85,62.9,0,0-12,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,1,0,15.725,0,1
4622-YNKIJ,0,0,0,33,1,1,88.95,3027.65,0,25-48,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,0,3,91.7469696969697,0,0
4412-YLTKF,1,0,0,27,1,1,78.05,2135.5,1,25-48,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0,1,79.0925925925926,0,1
6734-PSBAW,0,1,0,72,1,1,23.55,1723.95,0,61-72,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,0,23.94375,0,0
3930-ZGWVE,0,0,0,1,1,0,19.75,19.75,0,0-12,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,1,0,19.75,0,1
2639-UGMAZ,1,0,0,71,0,1,56.45,3985.35,0,61-72,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,0,4,56.131690140845066,0,0
2876-GZYZC,0,0,0,13,1,1,85.95,1215.65,0,13-24,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0,1,93.51153846153846,0,1
6207-WIOLX,0,1,1,25,0,1,58.6,1502.65,1,25-48,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,0,5,60.106,0,1
8587-XYZSF,0,0,0,67,1,0,50.55,3260.1,0,61-72,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0,1,48.65820895522388,0,0
3091-FYHKI,0,0,0,1,0,1,35.45,35.45,1,0-12,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1,1,35.45,0,1
2372-HWUHI,0,0,0,2,1,0,44.35,81.25,1,0-12,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,40.625,0,1
7799-LGRDP,0,0,0,43,1,1,25.7,1188.2,0,25-48,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0,0,27.632558139534886,0,0
7850-VWJUU,0,0,0,23,1,1,75.0,1778.5,0,13-24,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,77.32608695652173,0,1
3774-VBNXY,0,1,1,64,1,0,20.2,1277.75,0,61-72,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0,0,19.96484375,0,0
6217-KDYWC,0,0,1,57,1,1,19.6,1170.55,0,49-60,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0,0,20.5359649122807,0,0
0390-DCFDQ,1,1,0,1,1,1,70.45,70.45,1,0-12,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0,70.45,0,1
